Company Name,CityU URL,Company Website,Email
Anti-Recruitment-Fraud Bot,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/anti-recruitment-fraud-bot,No Info Found,No Info Found
AptaTech,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/aptatech,No Info Found,beatrice.lsy0429@gmail.com
AquaCos,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/aquacos,No Info Found,sindick10@yahoo.com.hk
Aquatech Asia Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/aquatech-asia-limited,No Info Found,aquatechasia.hk@gmail.com
ARBELE Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/arbele-limited,https://www.arbelebio.com/eng/home,annie@arbelebio.com
ArchiTech,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/architech,No Info Found,architech0802@gmail.com
ARCS,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/arcs,No Info Found,stechgroup2022@gmail.com
AREIX Analytics Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/areix,https://areix-ai.com,hellohk@areix-ai.com
ArkalaFarmers,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/arkalafarmers,No Info Found,No Info Found
Arogrena,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/arogrena,No Info Found,Arogrena@hotmail.com
Art Tech Bay,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/art-tech-bay,http://www.arttechbay.com/,info@arttechbay.com
Artificial Intelligence - Safety Working Platform,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/artificial-intelligence-safety-working-platform,http://intellemanly.com/,chiang918@gmail.com
Arvin – Speaking AI,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/arvin,No Info Found,skylarhimmel.research@gmail.com
AR_DRAMA,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ar-drama,No Info Found,bschung2-c@my.cityu.edu.hk
ASA Robotics Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/asa-robotics-limited,https://www.asa-robotics.com/,contact@asa-robotics.com
Asia Digital Asset Club,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/asia-digital-asset-club,https://linktr.ee/asiadigitalassetclub,info@asiadigitalassetclub.com
Askpire,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/askpire,https://www.askpire.com/,general@askpire.com
ATEC Film Technologies Limited,https://www.cityu.edu.hk/hktech300/start-ups/atec-film-technologies-limited,No Info Found,admin@atechk.com
Attitude sensing system for heavy machinery,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/attitude-sensing-system,No Info Found,Shudong_wang@outlook.com
Attofund,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/attofund,No Info Found,No Info Found
AudioGeeks – MuGEN,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/audiogeeks-mugen,No Info Found,No Info Found
AuthBlock — Web3 Application Infrastructure,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/authblock,https://www.authblock.io/,connect@authblock.io
Autofill Bot,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/autofill-bot,No Info Found,danielto@ionestep.com
Automatic battery thermal control system,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/automatic-battery-thermal-control-system,No Info Found,silehu2-c@my.cityu.edu.hk
AWIL Group – All Walks,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/awil-group-all-walks,No Info Found,No Info Found
BA-RHMS (Band-Aid Railway Health Monitoring System),https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ba-rhms,No Info Found,No Info Found
BacMed,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bacmed,No Info Found,No Info Found
Bag Plus,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bag-plus,No Info Found,bagplus852@gmail.com
Ball PB,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ball-pb,No Info Found,business@ballpb.com
BARK,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bark,No Info Found,No Info Found
Bee Prepared,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bee-prepared,https://beeprepared.info/,tony.wong@beeprepared.info
Begain,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/begain,No Info Found,surisho1102@gmail.com
Belun Technology Company Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/beluntech,https://beluntech.com/,info@beluntech.com
Bettery,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bettery,No Info Found,shuxue3-c@my.cityu.edu.hk
Bioinspired Topological Skin,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bioinspired-topological-skin,No Info Found,wanboli@cityu.edu.hk
Biolot,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/biolot,No Info Found,xxz020928@gmail.com
BioMetallica,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/biometallica,No Info Found,No Info Found
BITHON,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bithon,No Info Found,No Info Found
BIY Smoothie Love,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/biy-smoothie-love,No Info Found,smoothiebyblendit@gmail.com
Blockchain Credit Platform,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/blockchain-credit-platform,No Info Found,Info@prestare.finance
Blook,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/blook,https://www.blook.co/,wayne@blook.co
BNET-TECH Company Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/bnet-tech,https://bnet-tech.com,info@bnet-tech.com
Bookit,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bookit,No Info Found,bookithongkong@gmail.com
Botanique,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/botanique,No Info Found,No Info Found
BOXS Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/boxs-limited,https://boxs.hk/,cs@boxs.hk
Boxtalk Media Limited,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/boxtalk-media-limited,No Info Found,toby.wayland@gmail.com
BridgeImpact,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bridgeimpact,No Info Found,No Info Found
BUCHA LIMITED – BUCHA KING,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bucha-limited-bucha-king,No Info Found,No Info Found
Bud Silver Tech,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bud-silver-tech,No Info Found,budsilvertech@gmail.com
BudsAlike,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/budsalike,https://budsalike.com,stimuli@budsalike.com
Building a leading Asia   Retailtainment Franchise,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/building-leading-asia-retailtainment-franchise,https://sportopia.io/,info@sportopia.io
Building Useable and Smarter Security Services for FinTech,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/useable-and-smarter-security-services-for-fintech,No Info Found,wtteue@gmail.com
BusinessPsyche,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/businesspsyche,https://businesspsyche.io/,info@businesspsyche.io
Call Call Taxi Hailing System,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/call-call-taxi-hailing-system,No Info Found,micheria@easycharge.com.hk
Cally Technology Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/cally-technology,No Info Found,Callytech.ltd@gmail.com
Can-Cure,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/can-cure,No Info Found,huangcali2-c@my.cityu.edu.hk
Canpanion Group Limited,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/canpanion-group-limited,https://canpaniongroup.com/,No Info Found
Carful Group Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/carful-group-limited,https://carful.asia,cs@carful.hk
CASHON,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/cashon,https://www.cashonnet.io/,No Info Found
Castfact Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/castfact-limited,No Info Found,castfacthk@gmail.com
Cat Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/cattech,https://www.cattech.io/,info@cattech.io
Catnip,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/catnip,No Info Found,No Info Found
Cell-based bioassay platform for rapid toxicity testing,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/cell-based-bioassay-platform-for-rapid-toxicity-testing,No Info Found,yitenxia@cityu.edu.hk
Central Dogma,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/central-dogma,No Info Found,lab.project.elina@gmail.com
Certifi,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/certifi,No Info Found,ProjectCertifi@protonmail.com
CF Group,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/cf-group,No Info Found,cfgroup.hk@gmail.com
CHAKFOTO Technology Limited Company,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/chakfoto-technology-limited-company,https://www.chakfoto.com/,info@chakfoto.com
ChatChatBuy,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/chatchatbuy,https://chatchatbuy.com,info@chatchatbuy.com
CheckMate,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/checkmate,https://checkmatehk.io/,team@checkmatehk.io
CheckPoint,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/checkpoint,No Info Found,manktong5-c@my.cityu.edu.hk
Cheng Zhe Innovator,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/cheng-zhe-innovator,No Info Found,No Info Found
ChiMed Bee,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/chimedbee,No Info Found,chimedbee@gmail.com
Chinese AIGC Group – ChinAITalk,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/chinese-aigc-group-chinaitalk,No Info Found,chinaitalk.official@gmail.com
Chinese Speech Training System,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/chinese-speech-training-system,No Info Found,brickforbig@gmail.com
Chop Chop Chop,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/chop-chop-chop,No Info Found,Chopchopchop767@gmail.com
Cimple Biotechnology Limited,https://www.cityu.edu.hk/hktech300/start-ups/cimple-biotechnology-limited,No Info Found,No Info Found
CircularNFT,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/circularnft,No Info Found,No Info Found
CityChain,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/citychain,No Info Found,No Info Found
CityPro,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/citypro,No Info Found,No Info Found
Clos3t Labs,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/clos3t-labs,No Info Found,No Info Found
Cloud Kitchen,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/cloud-kitchen,No Info Found,No Info Found
CLS Environmental Technologies Ltd,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/carbonlitesystem,https://carbonlitesystem.com/,info@carbonlitesystem.com
CodeMasters – DevGenius,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/codemasters-devgenius,No Info Found,No Info Found
Coffee Cat,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/coffee-cat,No Info Found,coffeecat.hello@gmail.com
Colab,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/colab,No Info Found,No Info Found
Collage,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/collage,No Info Found,info@collagehk.com
ColorPixel (Hong Kong) Company Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/colorpixel-company-limited,https://about.colorverse.social/,support@colorverse.social
Columbo Tech,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/columbo-tech,No Info Found,meixuanli8-c@my.cityu.edu.hk
CombCure,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/combcure,No Info Found,zachazhao2-c@my.cityu.edu.hk
ComFlex Technologies,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/comflex-technologies,No Info Found,khkoh23@gmail.com
COMPASS Health Technology,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/compass-health-technology,No Info Found,jiannan.yang@my.cityu.edu.hk
Comprehensive open community for pet owners,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/comprehensive-open-community-pet-owners,No Info Found,jocelynyang98@gmail.com
Computer-Aided PROTAC Drug Design,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/computer-aided-protac-drug-design,http://www.protac.hk/,neo.sun@my.cityu.edu.hk
Concatenate,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/concatenate,No Info Found,No Info Found
Concerto,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/concerto,No Info Found,Calvin.wan@concerto-group.com
ConCheck,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/concheck,No Info Found,No Info Found
Connect,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/connect,No Info Found,aboken2-c@my.cityu.edu.hk
Const,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/const,No Info Found,No Info Found
Construction Progress & Quality Management System,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/snervenet,https://snervenet.com/,snervenet@gmail.com
ConstruCTV,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/constructv,No Info Found,anthonycstsang@gmail.com
ConTech Spark,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/contech-spark,https://www.metasonia.com/,info@metasonia.com
Continuous Blood Pressure Imaging Based on Multispectrual Tonoarteriography (MSTAG) and Lensless Camera Technology,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/continuous-blook-pressure-imaging,No Info Found,No Info Found
Convatic,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/convatic,No Info Found,No Info Found
COO,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/coo,No Info Found,No Info Found
Cooki,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/cooki,No Info Found,aiseekcooki@gmail.com
Cool-mall Technology Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/cool-mall,http://www.cool-mall.com/,admin@cool-mall.com
Cooldk,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/cooldk,No Info Found,Pikyanng6-c@my.cityu.edu.hk
CoolRadiant Technology,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/coolradiant-technology,No Info Found,No Info Found
Coraleus Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/coraleus-limited,https://www.coraleus.com,patrick.wong@coraleus.com
CorD,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/cord,No Info Found,Cordeliachong.icon@gmail.com
Corpbot,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/corpbot,No Info Found,info@corpbot.io
Cosmic Hydrogen Energy,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/cosmic-hydrogen-energy,No Info Found,cosmichydrogen@gmail.com
Coursefy,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/coursefy,No Info Found,No Info Found
Coverbase,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/coverbase,https://www.coverbase.io/,char@cloudian.com.hk
Credenshow,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/credenshow,https://CredenShow.com,contact@CredenShow.com
Cryptocert,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/cryptocert,No Info Found,angela@cryptocert.one
Curabo,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/curabo,No Info Found,curabotech@gmail.com
Curltai – DATQA,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/curltai-datqa,No Info Found,No Info Found
Cyber Interior Designbot,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/cyber-interior-designbot,No Info Found,No Info Found
D.I.Y. Negative Pressure Air Shield Device for Elderly Homes,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/diy-negative-pressure-air-shield-device,No Info Found,ken.miao@cityu.edu.hk
Da Tong,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/da-tong,No Info Found,No Info Found
DAIOTA All-in-one integrated data and sensor iPaaS solution,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/daiota,https://visutech.asia/,info@visutech.asia
Data Analysis for Web3 (DAW),https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/data-analysis-web3-daw,No Info Found,longman@daw.global
Datality Lab Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/datality-lab,https://datalitylab.com/,info@datalitylab.com
DataLouder Company Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/datalouder,https://datalouder.com/,admin@datalouder.com
Dayson,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/dayson,No Info Found,No Info Found
DAYTA AI,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/dayta-ai,https://www.dayta.ai/,info@dayta.ai
Deep Immune,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/deep-immune,No Info Found,wxueying31@gmail.com
Deep-Rx,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/deep-rx,No Info Found,No Info Found
DeepGreen,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/deepgreen,No Info Found,dliu@u.nus.edu
DeepSeq2Drug,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/deepseq2drug,http://deepseq2drug.cs.cityu.edu.hk/,weidunxie2-c@my.cityu.edu.hk
define CLEAN,https://www.cityu.edu.hk/hktech300/start-ups/define-clean,https://www.defineclean.co/,info@defineclean.co
Delivery Ape,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/delivery-ape,https://deliveryape.com.hk/,matthew.kwok@deliveryape.com.hk
DeltaDeFi,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/deltadefi,No Info Found,No Info Found
Dentell,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/dentell,No Info Found,svobbilis2-c@my.cityu.edu.hk
Designhub,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/designhub,No Info Found,No Info Found
Development of anticancer drug candidates using synthetic biology,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/development-of-anticancer-drug,No Info Found,combiomics@gmail.com
Digital traffic-management platform for low-altitude urban drone delivery,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/digital-traffic-management-platform,No Info Found,x.y.he@my.cityu.edu.hk
Digital Twin Technologies on Equine & Horse Welfare Management,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/equine-and-horse-welfare-management,No Info Found,fatima.waheed007@gmail.com
Digital Universal Network,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/digital-universal-network,No Info Found,No Info Found
Digital Vision Brands Holdings Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/digital-vision-brands-holdings-limited,https://www.digitalvisionbrands.com/,partnership@digitalvisionbrands.com
Doctech HK Limited,https://www.cityu.edu.hk/hktech300/start-ups/doctech-hk-limited,No Info Found,info@doctech-group.com
DoctorDwelling,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/doctordwelling,No Info Found,hkcozyspark@gmail.com
Dory iGarden Ltd.,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/dory-igarden,No Info Found,dory.igarden@gmail.com
Dotato,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/dotato,https://dotato.hk/,No Info Found
dpAuth,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/dpauth,https://www.dpauth.com/,regan@decenpay.com
Dr Nature,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/dr-nature,No Info Found,drnatureltd@gmail.com
